id,value
Account Associate,3
Account Executive,6
Account Manager,10
Accountant,38
Accounting,10
Accounting Assistant,5
Accounting Clerk,7
Accounting Staff,4
Admin,3
Admin Assistant,8
Administration,6
Administration Officer,3
Administrative Assista,4
Administrative Officer,3
Administrative Staff,3
Administrator,18
Agent,4
Ama De Casa,3
Analyst,3
Architect,3
Art Teacher,5
Artist,3
Assembler,3
Assistant,15
Assistant Manager,23
Assistant Supervisor,4
Assistant Teacher,3
Associate,7
Attendant,3
Baby Sitter,3
Babysitter,3
Baker,4
Bank Teller,5
Barber,10
Barista,7
Barman,3
Bartender,13
Beautician,14
Beauty Advisor,8
Book Keeper,3
Bookkeeper,3
Branch Manager,5
Builder,4
Business,9
Business Owner,10
Business Woman,4
Businessman,3
Cabin Crew,4
Call Center Agent,7
Care Giver,7
Care Taker,3
Caregiver,34
Caretaker,8
Cashier,82
CEO,3
Checker,5
Chef,13
Choreographer,4
Civil Engineer,6
Cleaner,8
Clerk,9
Comerciante,3
Computer Operator,3
Construction,9
Consultant,8
Content Creator,3
Contractor,3
Cook,14
Coordinator,3
Cosmetologist,6
Course Consultant,3
Crew Member,3
CSA,4
CSR,11
Customer Service,37
Customer Service Agent,9
Customer Service Asst,3
Customer Service Rep,26
Customer Service Rep.,9
Customer Service Repre,4
Customer Support,5
Dancer,3
Data Analyst,8
Delivery Driver,3
Dental Assistant,3
Dentist,5
Design Engineer,4
Designer,5
Director,9
Distributor,7
Doctor,5
Does Not Apply,4
Domestic  Helper,5
Domestic Helper,79
Domestic Worker,20
Driver,15
Educator,3
Electrical Engineer,3
Electrician,4
Elementary Teacher,3
Encoder,6
Engineer,7
English Instructor,3
English Teacher,36
English Tutor,4
Entrepreneur,7
ESL Teacher,5
Esthetician,3
Estilista,3
Estudiante,7
Executive Assistant,5
Factory Worker,15
Farmer,17
Farming,3
Fashion Designer,7
Financial Advisor,4
Financial Director,3
Firefighter,3
Flight Attendant,4
Florist,3
Food Attendant,6
Food Handler,3
Food Vendor,4
Freelancer,3
Front Desk Officer,3
General Manager,12
GM Assistant,8
Graphic Designer,8
Hair Dresser,3
Hair Stylist,10
Hairdresser,6
Helper,10
Higenista Oral,3
High School Teacher,3
Home Maker,5
Homemaker,50
Hostess,7
House Keeper,8
House Keeping,4
House Maid,10
House Wife,4
Household Worker,3
Housekeeper,11
Housekeeping,10
Housemaid,9
Human Resource Manager,4
Inspector,5
Instructor,6
Interior Designer,3
Intern,4
Kindergarten Teacher,5
Laborer,4
Labourer,4
Lawyer,8
Lecturer,3
Loan Officer,4
Machine Operator,13
Maid,3
Maintenance,3
Make Up Artist,7
Makeup Artist,4
Manager,75
Manicurist,6
Marketing,5
Marketing Assistant,5
Marketing Consultant,3
Marketing Manager,13
Marketing Staff 1,4
Mason,3
Massage Therapist,14
Masseuse,3
Mechanic,66
Mechanical Engineer,3
Medical Doctor,6
Medical Representative,3
Medical Technologist,7
Merchandiser,3
Merchant,3
Mesera,4
Midwife,4
Model,3
Mother,8
Musician,5
N/A,200
Nail Technician,7
Nanny,25
Not Applicable,3
Not Employed,5
Nurse,42
Nursing Aide,3
Office Assistant,4
Office Clerk,5
Office Manager,9
Office Staff,9
Office Worker,3
Officer In Charge,3
OFW,5
Operations Manager,9
Operations Supervisor,3
Operator,12
Owner,105
Owner/Operator,4
Packer,5
Painter,3
Pastor,6
Pastry Chef,4
Personal Assistant,8
Personal Trainer,5
Pharmacist,10
Pharmacy Assistant,5
Photographer,8
Physical Therapist,5
Physiotherapist,3
Police Officer,4
President,3
Procurement Officer,3
Production Assistant,3
Production Coordinator,3
Production Manager,3
Production Operator,18
Production Supervisor,4
Production Worker,9
Professor,3
Project Manager,13
Proprietor,9
Purchasing Manager,3
Purchasing Officer,3
Quality Analyst,3
Quality Assurance,5
Real Estate Agent,6
Reception,4
Receptionist,47
Registered Nurse,13
Restaurant Manager,3
Retail,4
Retired,20
Room Attendant,3
Sales,54
Sales Advisor,3
Sales Agent,5
Sales Assistant,12
Sales Associate,22
Sales Clerk,17
Sales Consultant,8
Sales Director,3
Sales Executive,8
Sales Lady,13
Sales Manager,16
Sales Person,12
Sales Representative,20
Sales Staff,3
Saleslady,3
Salesman,10
Salesperson,10
Saleswoman,3
Seamstress,12
Secretaria,4
Secretary,49
Security,5
Security Guard,13
Security Officer,11
Self-Employed,13
Self Employed,50
Seller,8
Senior Analyst,4
Server,11
Service Crew,9
Sewer,4
Singer,8
Social Worker,4
Software Engineer,3
Soldier,3
Staff,4
Staff Nurse,15
Store Manager,15
Store Owner,12
Store Supervisor,3
Student,637
Stylist,7
Supervisor,33
Taxi Driver,8
Teacher,116
Teacher 1,5
Teacher Aide,3
Teacher Assistant,3
Teaching,5
Team Coach,3
Team Leader,6
Team Member,4
Tech Support,3
Technical Support,6
Technician,3
Telemarketer,3
Teller,3
Therapist,5
Tour Guide,3
Trader,5
Trainer,4
Translator,10
Travel Agent,5
Travel Consultant,3
Treasurer,4
Tutor,6
Unemployed,1666
Vendedora,4
Vendor,7
Virtual Assistant,6
Waiter,11
Waitress,51
Welder,6
Worker,5
