state,name,value
01,Alabama,215
02,Alaska,152
05,Arkansas,150
04,Arizona,565
06,California,6312
08,Colorado,469
09,Connecticut,341
10,Delaware,75
11,District of Columbia,220
12,Florida,3144
13,Georgia,927
15,Hawaii,421
19,Iowa,198
16,Idaho,141
17,Illinois,1296
18,Indiana,374
20,Kansas,178
21,Kentucky,178
22,Louisiana,313
23,Maine,81
24,Maryland,740
25,Massachusetts,1039
26,Michigan,826
27,Minnesota,625
29,Missouri,349
28,Mississippi,92
30,Montana,74
37,North Carolina,638
38,North Dakota,87
31,Nebraska,221
33,New Hampshire,98
34,New Jersey,1087
35,New Mexico,106
32,Nevada,513
36,New York,3244
39,Ohio,693
40,Oklahoma,211
41,Oregon,473
42,Pennsylvania,847
44,Rhode Island,125
45,South Carolina,242
46,South Dakota,63
47,Tennessee,396
48,Texas,2671
49,Utah,309
51,Virginia,934
50,Vermont,54
53,Washington,1367
55,Wisconsin,440
54,West Virginia,50
56,Wyoming,45
